date,pm25,pm10,o3,no2,so2, co
2020/6/9,33, ,41,7, , 
2020/6/10,54, ,32,5, , 
2020/6/11,35, ,28,3, , 
2020/6/12,24, ,39,5, , 
2020/6/13,35, ,33,3, , 
2020/6/14,26, ,30,1, , 
2020/6/15,31, ,37,3, , 
2020/6/16,36, ,46,6, , 
2020/6/17,37, ,37,5, , 
2020/6/18,39, ,26,4, , 
2020/6/19,26, ,27,5, , 
2020/6/20,31, ,43,3, , 
2020/6/21,46, ,40,3, , 
2020/6/22,50, ,32,6, , 
2020/6/23,44, ,29,1, , 
2020/6/24,32, ,36,2, , 
2020/6/25,30, ,38,3, , 
2020/6/26,40, ,44,3, , 
2020/6/27,41, ,22,3, , 
2020/6/28,38, ,10,2, , 
2020/6/29,38, ,41,7, , 
2020/6/30,40, ,37,5, , 
2020/7/1,40, ,36,4, , 
2020/1/2,21, , , , , 
2020/1/3,39, , , , , 
2020/1/4,28, , , , , 
2020/1/5,27, , , , , 
2020/1/6,24, , , , , 
2020/1/7,26, , , , , 
2020/1/8,35, , , , , 
2020/1/9,29, , , , , 
2020/1/10,25, , , , , 
2020/1/11,44, , , , , 
2020/1/12,28, , , , , 
2020/1/13,12, , , , , 
2020/1/14,35, , , , , 
2020/1/15,43, , , , , 
2020/1/16,55, , , , , 
2020/1/17,33, , , , , 
2020/1/18,17, , , , , 
2020/1/19,26, , , , , 
2020/1/20,39, , , , , 
2020/1/21,41, , , , , 
2020/1/22,38, , , , , 
2020/1/23,82, , , , , 
2020/1/24,64, , , , , 
2020/1/25,32, , , , , 
2020/1/26,18, , , , , 
2020/1/27,17, , , , , 
2020/1/28,38, , , , , 
2020/1/29,35, , , , , 
2020/1/30,25, , , , , 
2020/1/31,51, , , , , 
2020/2/1,62, , , , , 
2020/2/2,62, , , , , 
2020/2/3,29, , , , , 
2020/2/4,33, , , , , 
2020/2/5,29, , , , , 
2020/2/6,20, , , , , 
2020/2/7,27, , , , , 
2020/2/8,24, , , , , 
2020/2/9,42, , , , , 
2020/2/10,37, , , , , 
2020/2/11,17, , , , , 
2020/2/12,41, , , , , 
2020/2/13,48, , , , , 
2020/2/14,31, , , , , 
2020/2/15,24, , , , , 
2020/2/16,40, , , , , 
2020/2/17,34, , , , , 
2020/2/18,46, , , , , 
2020/2/19,33, , , , , 
2020/2/20,37, , , , , 
2020/2/21,31, , , , , 
2020/2/22,34, , , , , 
2020/2/23,39, , , , , 
2020/2/24,41, , , , , 
2020/2/25,51, ,14,11, , 
2020/2/26,42, ,23,6, , 
2020/2/27,37, ,31,1, , 
2020/2/28,22, ,31,2, , 
2020/2/29,39, ,31,1, , 
2020/3/1,28, , , , , 
2020/3/2,33, ,39,2, , 
2020/3/3,60, ,31,7, , 
2020/3/4,24, ,33,2, , 
2020/3/5,21, ,31,9, , 
2020/3/6,37, ,24,8, , 
2020/3/7,40, ,31,3, , 
2020/3/8,27, ,32,8, , 
2020/3/9,41, ,38,12, , 
2020/3/10,57, ,30,4, , 
2020/3/11,33, ,24,7, , 
2020/3/12,52, ,31,7, , 
2020/3/13,48, ,34,4, , 
2020/3/14,28, ,28,4, , 
2020/3/15,27, ,29,3, , 
2020/3/16,31, ,28,7, , 
2020/3/17,24, ,18,6, , 
2020/3/18,40, ,24,6, , 
2020/3/19,39, ,16,7, , 
2020/3/20,27, ,29,6, , 
2020/3/21,22, ,28,1, , 
2020/3/22,23, ,33,2, , 
2020/3/23,31, ,31,3, , 
2020/3/24,24, ,27,4, , 
2020/3/25,37, ,27,3, , 
2020/3/26,20, ,38,7, , 
2020/3/27,38, ,31,7, , 
2020/3/28,46, ,29,5, , 
2020/3/29,49, ,37,7, , 
2020/3/30,20, ,33,5, , 
2020/3/31,15, ,23,2, , 
2020/4/1,24, ,33,3, , 
2019/10/2,60, , , , , 
2019/10/3,58, , , , , 
2019/10/4,48, , , , , 
2019/10/5,17, , , , , 
2019/10/6,18, , , , , 
2019/10/7,39, , , , , 
2019/10/8,23, , , , , 
2019/10/9,26, , , , , 
2019/10/10,27, , , , , 
2019/10/11,24, , , , , 
2019/10/12,22, , , , , 
2019/10/13,26, , , , , 
2019/10/14,39, , , , , 
2019/10/15,35, , , , , 
2019/10/16,26, , , , , 
2019/10/17,28, , , , , 
2019/10/18,19, , , , , 
2019/10/19,29, , , , , 
2019/10/20,36, , , , , 
2019/10/21,36, , , , , 
2019/10/22,33, , , , , 
2019/10/23,24, , , , , 
2019/10/24,28, , , , , 
2019/10/25,43, , , , , 
2019/10/26,62, , , , , 
2019/10/27,47, , , , , 
2019/10/28,24, , , , , 
2019/10/29,38, , , , , 
2019/10/30,40, , , , , 
